2a, OBJECTIEF-1, 41, V_curved, L
2a, PT:wijs-48, 4, 1, R
2a, SENSEO-F-4, 3, C, L
2a, SENSEO-F-4, 41, V_curved, R
2a, OVER-A-36, 38, B_curved, L
2a, OVER-A-36, 38, B_curved, R
2a, IN-K, 42, Beak, L
2a, IN-K, 42, Beak, R
2a, COACH-B-3, 2, B, L
2a, COACH-B-3, 2, B, R
2a, HARD-B, 2, B, L
2a, HARD-B, 22, 1_curved, R
2a, MSN-B-1, 2, B, L
2a, MSN-B-1, 2, B, R
2a, DAM-A-1, 3, C, L
2a, DAM-A-1, 2, B, R
2a, HANDSCHOENEN-C, 2, B, L
2a, HANDSCHOENEN-C, 2, B, R
2a, PASTA-A-1, 2, B, L
2a, PASTA-A-1, 19, V, R
2a, GEBRUIKEN-D-1, 2, B, L
2a, GEBRUIKEN-D-1, 4, 1, R
2a, SCHILDPAD-A-17, 1, A, L
2a, SCHILDPAD-A-17, 38, B_curved, R
2a, CAFE-C, 3, C, L
2a, CAFE-C, 41, V_curved, R
2a, NAAM-D, 2, B, L
2a, NAAM-D, 18, T, R
2a, SCHILDPAD-A-9, 38, B_curved, L
2a, SCHILDPAD-A-9, 1, A, R
2a, CREDITCARD, 17, S, L
2a, CREDITCARD, 2, B, R
2a, MANGO-B, 17, S, L
2a, MANGO-B, 4, 1, R
2a, BOOM-A-2, 25, 5, L
2a, BOOM-A-2, 25, 5, R
2a, BESLUITEN-B, 2, B, L
2a, BESLUITEN-B, 36, Money, R
2a, DRAAIORGEL-6, 3, C, L
2a, DRAAIORGEL-6, 17, S, R
2a, BLOEM-A-1, 3, C, L
2a, BLOEM-A-1, 3, C, R
2a, VINGERSPELLEN-HAND-3, 38, B_curved, L
2a, VINGERSPELLEN-HAND-3, 38, B_curved, R
2a, FOUT-A-1, 2, B, L
2a, FOUT-A-1, 4, 1, R
2a, SENSEO-F-1, 3, C, L
2a, SENSEO-F-1, 41, V_curved, R
2a, DRAAIORGEL-1, 3, C, L
2a, DRAAIORGEL-1, 17, S, R
2a, PRINTEN-B, 2, B, L
2a, PRINTEN-B, 22, 1_curved, R
2a, SCHILDPAD-A-2, 38, B_curved, L
2a, SCHILDPAD-A-2, 1, A, R
2a, GANS-A, 2, B, L
2a, GANS-A, 42, Beak, R
2a, GOUDA-1, 14, O, L
2a, GOUDA-1, 4, 1, R
2a, PT:wijs-69, 4, 1, L
2a, PT:wijs-69, 4, 1, R
2a, OPRICHTEN-B, 2, B, L
2a, OPRICHTEN-B, 2, B, R
2a, SPAREN-C, 42, Beak, L
2a, SPAREN-C, 42, Beak, R
2a, PT:mid-30, 4, 1, L
2a, PT:mid-30, 4, 1, R
2a, GENT-1, 2, B, L
2a, GENT-1, 2, B, R
2a, SCHRIJVEN-B-13, 2, B, L
2a, SCHRIJVEN-B-13, 18, T, R
2a, BIER-A-5, 3, C, L
2a, BIER-A-5, 17, S, R
2a, OVER-A-35, 2, B, L
2a, OVER-A-35, 38, B_curved, R
2a, LAATSTE-B-3, 2, B, L
2a, LAATSTE-B-3, 23, Y, R
2a, KROEG, 17, S, L
2a, KROEG, 3, C, R
2a, SCHRIJVEN-D-24, 2, B, L
2a, SCHRIJVEN-D-24, 24, Baby_O, R
2a, PT:ring-10, 25, 5, L
2a, PT:ring-10, 4, 1, R
2a, PT:mid-15, 4, 1, L
2a, PT:mid-15, 4, 1, R
2a, BORD-A, 2, B, L
2a, BORD-A, 4, 1, R
2a, SCHEERSCHUIM, 37, C_spread, L
2a, SCHEERSCHUIM, 22, 1_curved, R
2a, VERVELEN-B-1, 2, B, L
2a, VERVELEN-B-1, 19, V, R
2a, ENZOVOORTS-A-7, 4, 1, L
2a, ENZOVOORTS-A-7, 4, 1, R
2a, OVER-A-22, 38, B_curved, L
2a, OVER-A-22, 2, B, R
2a, GEBRUIKEN-A, 2, B, L
2a, GEBRUIKEN-A, 9, N, R
2a, MIAMI, 13, M, L
2a, MIAMI, 17, S, R
2a, JUFFROUW-B, 17, S, L
2a, JUFFROUW-B, 18, T, R
2a, GENDER, 4, 1, L
2a, GENDER, 2, B, R
2a, EIGENWIJS, 2, B, L
2a, EIGENWIJS, 2, B, R
2a, MIXEN-1, 3, C, L
2a, MIXEN-1, 12, L, R
2a, STAAN-C, 2, B, L
2a, STAAN-C, 19, V, R
2a, CORPUS-1, 2, B, L
2a, CORPUS-1, 39, Beak_open_spread, R
2a, PT:mid-43, 4, 1, L
2a, PT:mid-43, 4, 1, R
2a, OVER-A-13, 2, B, L
2a, OVER-A-13, 38, B_curved, R
2a, BANAAN-A-2, 17, S, L
2a, BANAAN-A-2, 36, Money, R
2a, BEZOEK-C, 2, B, L
2a, BEZOEK-C, 38, B_curved, R
2a, PT:wijs-45, 4, 1, L
2a, PT:wijs-45, 4, 1, R
2a, SLOT, 2, B, L
2a, SLOT, 36, Money, R
2a, SCHRIJVEN-D-26, 2, B, L
2a, SCHRIJVEN-D-26, 24, Baby_O, R
2a, AF-A-2, 2, B, L
2a, AF-A-2, 2, B, R
2a, KOPPIG, 17, S, L
2a, KOPPIG, 22, 1_curved, R
2a, BIER-A-2, 3, C, L
2a, BIER-A-2, 17, S, R
2a, SCHILDPAD-A-11, 1, A, L
2a, SCHILDPAD-A-11, 1, A, R
2a, REGELS-C-1, 2, B, L
2a, REGELS-C-1, 4, 1, R
2a, ACCEPTEREN-C, 2, B, L
2a, ACCEPTEREN-C, 21, W, R
2a, BLIJ-B-3, 38, B_curved, L
2a, BLIJ-B-3, 2, B, R
2a, ENZOVOORTS-A-20, 4, 1, L
2a, ENZOVOORTS-A-20, 4, 1, R
2a, ACHTEROP-1, 19, V, L
2a, ACHTEROP-1, 2, B, R
2a, BIJ-C-1, 2, B, L
2a, BIJ-C-1, 2, B, R
2a, NEUKEN-B, 17, S, L
2a, NEUKEN-B, 25, 5, R
2a, PT:wijs-24, 4, 1, L
2a, PT:wijs-24, 4, 1, R
2a, AU-BAIN-MARIE, 2, B, L
2a, AU-BAIN-MARIE, 2, B, R
2a, ROEMENIE-A-1, 2, B, L
2a, ROEMENIE-A-1, 42, Beak, R
2a, SCHILDPAD-A-49, 38, B_curved, L
2a, SCHILDPAD-A-49, 1, A, R
2a, SCHRIJVEN-D-16, 24, Baby_O, L
2a, SCHRIJVEN-D-16, 24, Baby_O, R
2a, SCHOOL-B-5, 2, B, L
2a, SCHOOL-B-5, 18, T, R
2a, PT:mid-44, 4, 1, L
2a, PT:mid-44, 4, 1, R
2a, VOETBALLEN-B-11, 2, B, L
2a, VOETBALLEN-B-11, 19, V, R
2a, PT:duim-24, 25, 5, L
2a, PT:duim-24, 4, 1, R
2a, STICKER, 1, A, L
2a, STICKER, 17, S, R
2a, KWARK-C, 3, C, L
2a, KWARK-C, 36, Money, R
2a, MASKEN, 4, 1, L
2a, MASKEN, 25, 5, R
2a, GEBRUIKEN-A-14, 2, B, L
2a, GEBRUIKEN-A-14, 9, N, R
2a, ENZOVOORTS-A-11, 4, 1, L
2a, ENZOVOORTS-A-11, 4, 1, R
2a, BOOM-A-3, 2, B, L
2a, BOOM-A-3, 25, 5, R
2a, NMG-4, 2, B, L
2a, NMG-4, 17, S, R
2a, IN-E-8, 3, C, L
2a, IN-E-8, 4, 1, R
2a, PT:mid-31, 4, 1, L
2a, PT:mid-31, 4, 1, R
2a, PT:mid-11, 4, 1, L
2a, PT:mid-11, 4, 1, R
2a, PT:ring-6, 25, 5, L
2a, PT:ring-6, 4, 1, R
2a, TECHNIEK, 2, B, L
2a, TECHNIEK, 19, V, R
2a, DOWN-A-1, 2, B, L
2a, DOWN-A-1, 4, 1, R
2a, BLIKJE-C, 3, C, L
2a, BLIKJE-C, 22, 1_curved, R
2a, CHIPS-A, 3, C, L
2a, CHIPS-A, 18, T, R
2a, HOTEL-B, 41, V_curved, L
2a, HOTEL-B, 41, V_curved, R
2a, JARIG-A-2, 2, B, L
2a, JARIG-A-2, 2, B, R
2a, BIER-A-4, 3, C, L
2a, BIER-A-4, 17, S, R
2a, MACARONI-B, 17, S, L
2a, MACARONI-B, 4, 1, R
2a, PRAKTIJK, 2, B, L
2a, PRAKTIJK, 19, V, R
2a, OVER-A-14, 38, B_curved, L
2a, OVER-A-14, 38, B_curved, R
2a, PT:duim-16, 4, 1, L
2a, PT:duim-16, 4, 1, R
2a, SCHRIJVEN-B-11, 2, B, L
2a, SCHRIJVEN-B-11, 18, T, R
2a, PT:mid-7, 4, 1, L
2a, PT:mid-7, 4, 1, R
2a, BEKEURING-2, 2, B, L
2a, BEKEURING-2, 1, A, R
2a, KIWI-B, 3, C, L
2a, KIWI-B, 1, A, R
2a, GEBRUIKEN-A-31, 2, B, L
2a, GEBRUIKEN-A-31, 9, N, R
2a, ENZOVOORTS-A, 4, 1, L
2a, ENZOVOORTS-A, 30, 4, R
2a, PT:wijs-31, 4, 1, L
2a, PT:wijs-31, 4, 1, R
2a, KAAS-B, 38, B_curved, L
2a, KAAS-B, 36, Money, R
2a, PT:wijs-63, 4, 1, L
2a, PT:wijs-63, 4, 1, R
2a, PT:ring-4, 25, 5, L
2a, PT:ring-4, 4, 1, R
2a, ROEMENIE-A-2, 2, B, L
2a, ROEMENIE-A-2, 42, Beak, R
2a, SCHILDPAD-A-16, 38, B_curved, L
2a, SCHILDPAD-A-16, 1, A, R
2a, CORPUS-2, 2, B, L
2a, CORPUS-2, 39, Beak_open_spread, R
2a, KERN-1, 2, B, L
2a, KERN-1, 43, 5m, R
2a, PT:duim-25, 4, 1, L
2a, PT:duim-25, 4, 1, R
2a, ENZOVOORTS-C-8, 30, 4, L
2a, ENZOVOORTS-C-8, 30, 4, R
2a, SCHRIJVEN-D-40, 24, Baby_O, L
2a, SCHRIJVEN-D-40, 2, B, R
2a, KIP-B, 2, B, L
2a, KIP-B, 45, Baby_beak, R
2a, VOETBALLEN-B-4, 19, V, L
2a, BRIEF-A, 2, B, L
2a, BRIEF-A, 1, A, R
2a, MIXEN, 3, C, L
2a, MIXEN, 12, L, R
2a, BARCELONA, 30, 4, L
2a, BARCELONA, 25, 5, R
2a, SCHILDPAD-A-31, 38, B_curved, L
2a, SCHILDPAD-A-31, 1, A, R
2a, SCHILDPAD-A-61, 1, A, L
2a, SCHILDPAD-A-61, 1, A, R
2a, AANSLUITEN-3, 22, 1_curved, L
2a, AANSLUITEN-3, 22, 1_curved, R
2a, JARIG-A-6, 2, B, L
2a, JARIG-A-6, 26, Beak_open, R
2a, DRAAIORGEL-12, 3, C, L
2a, DRAAIORGEL-12, 17, S, R
2a, JAMMER-C-3, 2, B, L
2a, JAMMER-C-3, 17, S, R
2a, IRAN-1, 2, B, L
2a, IRAN-1, 2, B, R
2a, SCHRIJVEN-D-12, 2, B, L
2a, SCHRIJVEN-D-12, 24, Baby_O, R
2a, GEBRUIKEN-C-12, 2, B, L
2a, GEBRUIKEN-C-12, 2, B, R
2a, LAATSTE-B-4, 2, B, L
2a, LAATSTE-B-4, 23, Y, R
2a, DRAAIORGEL-3, 3, C, L
2a, DRAAIORGEL-3, 17, S, R
2a, PT:mid-14, 4, 1, L
2a, PT:mid-14, 25, 5, R
2a, PT:mid-23, 4, 1, L
2a, PT:mid-23, 4, 1, R
2a, PT:wijs-59, 4, 1, L
2a, PT:wijs-59, 4, 1, R
2a, ENZOVOORTS-A-23, 4, 1, L
2a, ENZOVOORTS-A-23, 4, 1, R
2a, BESTEMPELEN-B-1, 2, B, L
2a, BESTEMPELEN-B-1, 17, S, R
2a, ZUINIG-B, 2, B, L
2a, ZUINIG-B, 3, C, R
2a, AF-A-16, 2, B, L
2a, AF-A-16, 2, B, R
2a, AMSTEL-B-1, 3, C, L
2a, AMSTEL-B-1, 30, 4, R
2a, LAATSTE-B-7, 2, B, L
2a, LAATSTE-B-7, 23, Y, R
2a, VERZAMELEN-C-3, 2, B, L
2a, VERZAMELEN-C-3, 2, B, R
2a, GEBRUIKEN-C-3, 2, B, L
2a, GEBRUIKEN-C-3, 4, 1, R
2a, IRAN, 1, A, L
2a, IRAN, 2, B, R
2a, IN-E-7, 3, C, L
2a, IN-E-7, 4, 1, R
2a, NMG-1, 2, B, L
2a, NMG-1, 2, B, R
2a, OVER-A-27, 38, B_curved, L
2a, OVER-A-27, 38, B_curved, R
2a, BIER-B-5, 41, V_curved, L
2a, BIER-B-5, 41, V_curved, R
2a, SCHOOL-B-9, 2, B, L
2a, SCHOOL-B-9, 2, B, R
2a, DRAAIORGEL-8, 3, C, L
2a, DRAAIORGEL-8, 17, S, R
2a, GEBRUIKEN-C-14, 4, 1, L
2a, GEBRUIKEN-C-14, 2, B, R
2a, 8-B-1, 25, 5, L
2a, 8-B-1, 21, W, R
2a, OVER-A-9, 2, B, L
2a, OVER-A-9, 38, B_curved, R
2a, SCHILDPAD-A-56, 38, B_curved, L
2a, SCHILDPAD-A-56, 1, A, R
2a, SCHRIJVEN-D-38, 2, B, L
2a, SCHRIJVEN-D-38, 24, Baby_O, R
2a, OVER-A-12, 2, B, L
2a, OVER-A-12, 38, B_curved, R
2a, RUSLAND-D-1, 4, 1, L
2a, RUSLAND-D-1, 36, Money, R
2a, PT:wijs-21, 4, 1, L
2a, PT:wijs-21, 4, 1, R
2a, 7-B-3, 25, 5, L
2a, 7-B-3, 12, L, R
2a, 1000-B, 2, B, L
2a, 1000-B, 27, B_bent, R
2a, DIGITAAL-B-1, 24, Baby_O, L
2a, DIGITAAL-B-1, 4, 1, R
2a, STEKKER-B-1, 2, B, L
2a, STEKKER-B-1, 19, V, R
2a, APOTHEEK, 17, S, L
2a, APOTHEEK, 2, B, R
2a, SCHRIJVEN-D-34, 2, B, L
2a, SCHRIJVEN-D-34, 24, Baby_O, R
2a, ONTSLAAN-A, 2, B, L
2a, ONTSLAAN-A, 1, A, R
2a, TIJD-HEBBEN, 2, B, L
2a, TIJD-HEBBEN, 17, S, R
2a, WIFI-A, 25, 5, L
2a, WIFI-A, 4, 1, R
2a, GEBRUIKEN-A-29, 2, B, L
2a, GEBRUIKEN-A-29, 9, N, R
2a, PIZZA-A, 2, B, L
2a, PIZZA-A, 4, 1, R
2a, TEKST-B, 2, B, L
2a, TEKST-B, 37, C_spread, R
2a, OVER-A-40, 38, B_curved, L
2a, OVER-A-40, 38, B_curved, R
2a, PAKISTAN, 24, Baby_O, L
2a, PAKISTAN, 4, 1, R
2a, SCHRIJVEN-B, 2, B, L
2a, SCHRIJVEN-B, 18, T, R
2a, 6-B-9, 1, A, L
2a, 6-B-9, 25, 5, R
2a, ONDERDRUKKEN-A, 17, S, L
2a, ONDERDRUKKEN-A, 25, 5, R
2a, GEBRUIKEN-C-11, 2, B, L
2a, GEBRUIKEN-C-11, 4, 1, R
2a, SCHOOL-B, 2, B, L
2a, SCHOOL-B, 18, T, R
2a, AANSLUITEN-1, 22, 1_curved, L
2a, AANSLUITEN-1, 22, 1_curved, R
2a, SCHRIJVEN-D-4, 24, Baby_O, L
2a, SCHRIJVEN-D-4, 24, Baby_O, R
2a, GEBRUIKEN-A-32, 2, B, L
2a, GEBRUIKEN-A-32, 9, N, R
2a, PT:ring-2, 25, 5, L
2a, PT:ring-2, 4, 1, R
2a, KOPEN-C, 2, B, L
2a, KOPEN-C, 36, Money, R
2a, PT:pink-6, 25, 5, L
2a, PT:pink-6, 4, 1, R
2a, MSN-B-7, 2, B, L
2a, MSN-B-7, 2, B, R
2a, AMSTEL-B-2, 3, C, L
2a, AMSTEL-B-2, 30, 4, R
2a, BURN-OUT-A-1, 26, Beak_open, L
2a, BURN-OUT-A-1, 26, Beak_open, R
2a, 13-C, 25, 5, L
2a, 13-C, 29, 3, R
2a, 8-B-7, 25, 5, L
2a, 8-B-7, 21, W, R
2a, ENZOVOORTS-A-14, 4, 1, L
2a, ENZOVOORTS-A-14, 4, 1, R
2a, LEZING-1, 2, B, L
2a, LEZING-1, 25, 5, R
2a, SENSEO-G-4, 3, C, L
2a, SENSEO-G-4, 41, V_curved, R
2a, BETALEN-5, 1, A, L
2a, BETALEN-5, 2, B, R
2a, CAFE-A-1, 17, S, L
2a, CAFE-A-1, 3, C, R
2a, LETTERLIJK-1, 12, L, L
2a, LETTERLIJK-1, 2, B, R
2a, WET-A, 2, B, L
2a, WET-A, 21, W, R
2a, BIER-B-2, 3, C, L
2a, BIER-B-2, 41, V_curved, R
2a, SCHRIJVEN-D-11, 2, B, L
2a, SCHRIJVEN-D-11, 2, B, R
2a, ENZOVOORTS-A-27, 4, 1, L
2a, ENZOVOORTS-A-27, 4, 1, R
2a, ENZOVOORTS-A-24, 4, 1, L
2a, ENZOVOORTS-A-24, 4, 1, R
2a, AF-A-11, 25, 5, L
2a, AF-A-11, 2, B, R
2a, PT:wijs-18, 4, 1, L
2a, PT:wijs-18, 4, 1, R
2a, VOETBALLEN-B-8, 19, V, L
2a, VOETBALLEN-B-8, 19, V, R
2a, GENT, 59, 5r, L
2a, GENT, 2, B, R
2a, BANAAN-A-7, 36, Money, L
2a, BANAAN-A-7, 36, Money, R
2a, SCHILDPAD-A-36, 38, B_curved, L
2a, SCHILDPAD-A-36, 1, A, R
2a, PT:wijs-46, 4, 1, L
2a, PT:wijs-46, 4, 1, R
2a, PT:wijs-15, 4, 1, L
2a, PT:wijs-15, 4, 1, R
2a, ENZOVOORTS-C-10, 25, 5, L
2a, ENZOVOORTS-C-10, 25, 5, R
2a, ACHTERGROND-C, 25, 5, L
2a, ACHTERGROND-C, 4, 1, R
2a, 18-C, 25, 5, L
2a, 18-C, 21, W, R
2a, OVER-A-25, 38, B_curved, L
2a, OVER-A-25, 2, B, R
2a, ENZOVOORTS-C-11, 25, 5, L
2a, ENZOVOORTS-C-11, 25, 5, R
2a, DOLLAR-B-2, 42, Beak, L
2a, DOLLAR-B-2, 42, Beak, R
2a, ERBIJ-HOREN-1, 3, C, L
2a, ERBIJ-HOREN-1, 4, 1, R
2a, SYRIE-B, 2, B, L
2a, SYRIE-B, 19, V, R
2a, 6-B-4, 25, 5, L
2a, 6-B-4, 1, A, R
2a, TECHNIEK-1, 2, B, L
2a, TECHNIEK-1, 19, V, R
2a, THERAPIE-C, 2, B, L
2a, THERAPIE-C, 18, T, R
2a, BORDUREN, 2, B, L
2a, BORDUREN, 18, T, R
2a, VINGERSPELLEN-HAND-2, 38, B_curved, L
2a, VINGERSPELLEN-HAND-2, 25, 5, R
2a, 19-D, 25, 5, L
2a, 19-D, 30, 4, R
2a, HARD-A, 17, S, L
2a, HARD-A, 22, 1_curved, R
2a, SCHILDPAD-A-12, 1, A, L
2a, SCHILDPAD-A-12, 38, B_curved, R
2a, TWEETALIG-12, 14, O, L
2a, TWEETALIG-12, 14, O, R
2a, VOETBALLEN-B, 2, B, L
2a, VOETBALLEN-B, 19, V, R
2a, ESTAFETTE, 2, B, L
2a, ESTAFETTE, 2, B, R
2a, JAMMER-C-2, 2, B, L
2a, JAMMER-C-2, 17, S, R
2a, NMG-5, 2, B, L
2a, NMG-5, 2, B, R
2a, SCHRIJVEN-D-42, 2, B, L
2a, SCHRIJVEN-D-42, 24, Baby_O, R
2a, SCHRIJVEN-B-17, 2, B, L
2a, SCHRIJVEN-B-17, 18, T, R
2a, PT:mid-6, 4, 1, L
2a, PT:mid-6, 4, 1, R
2a, OVER-A-17, 38, B_curved, L
2a, OVER-A-17, 38, B_curved, R
2a, BUNGEEJUMPEN, 2, B, L
2a, BUNGEEJUMPEN, 19, V, R
2a, HOEFT-NIET-B-1, 2, B, L
2a, HOEFT-NIET-B-1, 2, B, R
2a, PT:wijs-22, 4, 1, L
2a, PT:wijs-22, 4, 1, R
2a, PT:mid-26, 25, 5, L
2a, PT:mid-26, 4, 1, R
2a, ONAFHANKELIJK-1, 3, C, L
2a, ONAFHANKELIJK-1, 3, C, R
2a, TEGEN-AAN-LOPEN-A-2, 2, B, L
2a, TEGEN-AAN-LOPEN-A-2, 17, S, R
2a, BLIJ-B-2, 38, B_curved, L
2a, BLIJ-B-2, 38, B_curved, R
2a, AANSLUITEN, 14, O, L
2a, AANSLUITEN, 22, 1_curved, R
2a, SCHRIJVEN-B-1, 2, B, L
2a, SCHRIJVEN-B-1, 18, T, R
2a, GEBRUIKEN-A-5, 2, B, L
2a, GEBRUIKEN-A-5, 2, B, R
2a, VLEES-C-1, 25, 5, L
2a, VLEES-C-1, 18, T, R
2a, WISKUNDE-B, 2, B, L
2a, WISKUNDE-B, 21, W, R
2a, PT:wijs-68, 25, 5, L
2a, PT:wijs-68, 4, 1, R
2a, TWEETALIG-2, 14, O, L
2a, TWEETALIG-2, 19, V, R
2a, PRIVILEGE, 4, 1, L
2a, PRIVILEGE, 2, B, R
2a, GEBRUIKEN-A-19, 2, B, L
2a, GEBRUIKEN-A-19, 2, B, R
2a, PT:ring-18, 4, 1, L
2a, PT:ring-18, 4, 1, R
2a, SCHRIJVEN-B-20, 2, B, L
2a, SCHRIJVEN-B-20, 2, B, R
2a, BLIKJE-D-1, 3, C, L
2a, BLIKJE-D-1, 3, C, R
2a, EENZAAM-3, 4, 1, L
2a, EENZAAM-3, 4, 1, R
2a, SCHRIJVEN-B-9, 2, B, L
2a, SCHRIJVEN-B-9, 18, T, R
2a, PT:wijs-37, 4, 1, L
2a, PT:wijs-37, 4, 1, R
2a, JARIG-A-1, 26, Beak_open, L
2a, JARIG-A-1, 2, B, R
2a, ENZOVOORTS-C-13, 30, 4, L
2a, ENZOVOORTS-C-13, 25, 5, R
2a, PT:mid-13, 4, 1, L
2a, PT:mid-13, 4, 1, R
2a, PT:wijs-73, 4, 1, L
2a, PT:wijs-73, 4, 1, R
2a, GEBRUIKEN-D-2, 2, B, L
2a, GEBRUIKEN-D-2, 4, 1, R
2a, PT:pink-7, 4, 1, L
2a, PT:pink-7, 25, 5, R
2a, SCHRIJVEN-D-15, 24, Baby_O, L
2a, SCHRIJVEN-D-15, 24, Baby_O, R
2a, KAARTEN-B-1, 26, Beak_open, L
2a, KAARTEN-B-1, 2, B, R
2a, SCHRIJVEN-D-37, 24, Baby_O, L
2a, SCHRIJVEN-D-37, 24, Baby_O, R
2a, ABSEILEN-B, 2, B, L
2a, ABSEILEN-B, 19, V, R
2a, HARD-B-7, 22, 1_curved, L
2a, HARD-B-7, 22, 1_curved, R
2a, BIER-B-6, 41, V_curved, L
2a, BIER-B-6, 41, V_curved, R
2a, PT:ring-1, 25, 5, L
2a, PT:ring-1, 4, 1, R
2a, JOYSTICK-3, 2, B, L
2a, JOYSTICK-3, 17, S, R
2a, SCHRIJVEN-D-2, 2, B, L
2a, SCHRIJVEN-D-2, 2, B, R
2a, PT:duim-31, 4, 1, L
2a, PT:duim-31, 4, 1, R
2a, OVER-EEN-KAM-SCHEREN, 2, B, L
2a, OVER-EEN-KAM-SCHEREN, 17, S, R
2a, MSN-B-5, 2, B, L
2a, MSN-B-5, 2, B, R
2a, GEBRUIKEN-A-1, 2, B, L
2a, GEBRUIKEN-A-1, 9, N, R
2a, PT:ring-23, 25, 5, L
2a, PT:ring-23, 4, 1, R
2a, BOTER-A, 2, B, L
2a, BOTER-A, 9, N, R
2a, OVER-A-41, 38, B_curved, L
2a, OVER-A-41, 2, B, R
2a, EPILEPSIE, 4, 1, L
2a, EPILEPSIE, 2, B, R
2a, BIJBEL-B-1, 2, B, L
2a, BIJBEL-B-1, 9, N, R
2a, PT:mid-40, 4, 1, L
2a, PT:mid-40, 4, 1, R
2a, PT:mid-25, 25, 5, L
2a, PT:mid-25, 4, 1, R
2a, PT:mid-5, 4, 1, L
2a, PT:mid-5, 4, 1, R
2a, POLITIEK-A-5, 2, B, L
2a, POLITIEK-A-5, 19, V, R
2a, OVER-A-34, 38, B_curved, L
2a, OVER-A-34, 38, B_curved, R
2a, IN-E-3, 3, C, L
2a, IN-E-3, 3, C, R
2a, RAT-B-1, 17, S, L
2a, RAT-B-1, 4, 1, R
2a, SCHOOL-B-8, 2, B, L
2a, SCHOOL-B-8, 18, T, R
2a, FOUT-A, 2, B, L
2a, FOUT-A, 4, 1, R
2a, LAATSTE-B-8, 23, Y, L
2a, LAATSTE-B-8, 23, Y, R
2a, CODE, 3, C, L
2a, CODE, 3, C, R
2a, SUSHI-B, 2, B, L
2a, SUSHI-B, 9, N, R
2a, BLOEM-A-4, 3, C, L
2a, BLOEM-A-4, 3, C, R
2a, BIER-B, 41, V_curved, L
2a, BIER-B, 41, V_curved, R
2a, EI-B, 3, C, L
2a, EI-B, 22, 1_curved, R
2a, SCHILDPAD-A-50, 38, B_curved, L
2a, SCHILDPAD-A-50, 1, A, R
2a, BARCELONA-1, 30, 4, L
2a, BARCELONA-1, 25, 5, R
2a, OVER-A-45, 38, B_curved, L
2a, OVER-A-45, 38, B_curved, R
2a, BRIEF-A-1, 2, B, L
2a, BRIEF-A-1, 1, A, R
2a, ENZOVOORTS-A-3, 4, 1, L
2a, ENZOVOORTS-A-3, 4, 1, R
2a, BLIKJE-B, 3, C, L
2a, BLIKJE-B, 22, 1_curved, R
2a, BIER-B-3, 41, V_curved, L
2a, BIER-B-3, 41, V_curved, R
2a, GEBRUIKEN-C-19, 2, B, L
2a, GEBRUIKEN-C-19, 4, 1, R
2a, SCHRIJVEN-D-17, 2, B, L
2a, SCHRIJVEN-D-17, 24, Baby_O, R
2a, 6-B-10, 1, A, L
2a, 6-B-10, 1, A, R
2a, ONDERDRUKKEN-A-2, 25, 5, L
2a, ONDERDRUKKEN-A-2, 25, 5, R
2a, OVER-A-15, 38, B_curved, L
2a, OVER-A-15, 38, B_curved, R
2a, ASSEPOESTER, 2, B, L
2a, ASSEPOESTER, 1, A, R
2a, SENSEO-F-7, 3, C, L
2a, SENSEO-F-7, 41, V_curved, R
2a, SENSEO-G-6, 41, V_curved, L
2a, SENSEO-G-6, 41, V_curved, R
2a, SCHOOL-B-11, 2, B, L
2a, SCHOOL-B-11, 18, T, R
2a, UITDAGEN-C, 17, S, L
2a, UITDAGEN-C, 2, B, R
2a, PT:mid-9, 25, 5, L
2a, PT:mid-9, 4, 1, R
2a, ENZOVOORTS-A-5, 4, 1, L
2a, ENZOVOORTS-A-5, 4, 1, R
2a, HARD-B-2, 2, B, L
2a, HARD-B-2, 22, 1_curved, R
2a, POLITIEK-A-2, 2, B, L
2a, POLITIEK-A-2, 19, V, R
2a, PRINTEN-A, 2, B, L
2a, PRINTEN-A, 41, V_curved, R
2a, PADDESTOEL, 1, A, L
2a, PADDESTOEL, 38, B_curved, R
2a, PT:mid-21, 4, 1, L
2a, PT:mid-21, 4, 1, R
2a, SCANNER, 2, B, L
2a, SCANNER, 17, S, R
2a, AUBERGINE-A, 42, Beak, L
2a, AUBERGINE-A, 37, C_spread, R
2a, ALSOF-B-2, 25, 5, L
2a, ALSOF-B-2, 25, 5, R
2a, BESLUITEN-B-1, 2, B, L
2a, BESLUITEN-B-1, 36, Money, R
2a, PT:wijs-17, 4, 1, L
2a, PT:wijs-17, 4, 1, R
2a, SCHRIJVEN-D-30, 24, Baby_O, L
2a, SCHRIJVEN-D-30, 2, B, R
2a, NMG-7, 2, B, L
2a, NMG-7, 17, S, R
2a, SCHRIJVEN-B-5, 2, B, L
2a, SCHRIJVEN-B-5, 18, T, R
2a, SCHRIJVEN-D-23, 2, B, L
2a, SCHRIJVEN-D-23, 24, Baby_O, R
2a, OVER-A-29, 38, B_curved, L
2a, OVER-A-29, 38, B_curved, R
2a, LAATSTE-B-10, 2, B, L
2a, LAATSTE-B-10, 23, Y, R
2a, BLOEM-A-6, 3, C, L
2a, BLOEM-A-6, 40, Beak_spread, R
2a, SCHRIJVEN-B-16, 2, B, L
2a, SCHRIJVEN-B-16, 2, B, R
2a, PT:wijs-20, 4, 1, L
2a, PT:wijs-20, 4, 1, R
2a, CONTRACT-A, 2, B, L
2a, CONTRACT-A, 9, N, R
2a, DANSEN-A, 2, B, L
