2s, PO-4003, 2, B, L
2s, COMMUNICEREN-76, 3, C, L
2s, COMMUNICEREN-76, 3, C, R
2s, PO-2231, 2, B, L
2s, PO-2231, 2, B, R
2s, PO-28, 2, B, L
2s, PO-28, 2, B, R
2s, MOGEN-A-28, 25, 5, L
2s, MOGEN-A-28, 25, 5, R
2s, PO-746, 2, B, L
2s, PO-746, 2, B, R
2s, PO-1703, 2, B, L
2s, PO-1703, 2, B, R
2s, ONTMOETEN-A-35, 4, 1, L
2s, ONTMOETEN-A-35, 4, 1, R
2s, RICHTING-10, 2, B, L
2s, RICHTING-10, 2, B, R
2s, TOESLAG-A, 36, Money, L
2s, TOESLAG-A, 36, Money, R
2s, ONTWIKKELEN-A-78, 4, 1, L
2s, ONTWIKKELEN-A-78, 4, 1, R
2s, MOGEN-A-27, 25, 5, L
2s, MOGEN-A-27, 25, 5, R
2s, VERTELLEN-46, 2, B, L
2s, VERTELLEN-46, 2, B, R
2s, GEHANDICAPT-E-3, 27, B_bent, L
2s, GEHANDICAPT-E-3, 27, B_bent, R
2s, WEGZAKKEN, 39, Beak_open_spread, L
2s, WEGZAKKEN, 39, Beak_open_spread, R
2s, PO-3796, 2, B, L
2s, PO-3796, 2, B, R
2s, LOPEN-D-44, 2, B, L
2s, LOPEN-D-44, 2, B, R
2s, ZITTEN-E, 37, C_spread, L
2s, ZITTEN-E, 37, C_spread, R
2s, AFHANKELIJK-A-5, 22, 1_curved, L
2s, AFHANKELIJK-A-5, 22, 1_curved, R
2s, PO-2235, 2, B, L
2s, PO-2235, 2, B, R
2s, BOT-43, 3, C, L
2s, BOT-43, 3, C, R
2s, VERTELLEN-56, 2, B, L
2s, VERTELLEN-56, 2, B, R
2s, BAL-A-2, 37, C_spread, L
2s, BAL-A-2, 37, C_spread, R
2s, GRIEZELIG-4, 37, C_spread, L
2s, GRIEZELIG-4, 37, C_spread, R
2s, PRATEN-B-5, 26, Beak_open, L
2s, PRATEN-B-5, 26, Beak_open, R
2s, PO-3056, 2, B, L
2s, PO-3056, 2, B, R
2s, PO-3963, 2, B, L
2s, PO-3963, 2, B, R
2s, ALLES-B-6, 25, 5, L
2s, ALLES-B-6, 25, 5, R
2s, WOERDEN-1, 21, W, L
2s, WOERDEN-1, 21, W, R
2s, PO-2938, 2, B, L
2s, PO-2938, 2, B, R
2s, PO-670, 2, B, L
2s, PO-670, 2, B, R
2s, DYNAMIEK-1, 17, S, L
2s, DYNAMIEK-1, 17, S, R
2s, SPORT-B, 17, S, L
2s, SPORT-B, 17, S, R
2s, DRENTHE-B-1, 26, Beak_open, L
2s, DRENTHE-B-1, 26, Beak_open, R
2s, GEBEUREN-A, 2, B, L
2s, GEBEUREN-A, 2, B, R
2s, PO-4058, 2, B, L
2s, PO-4058, 2, B, R
2s, BEZOEK-A-8, 2, B, L
2s, BEZOEK-A-8, 2, B, R
2s, GROEP-A-39, 3, C, L
2s, GROEP-A-39, 3, C, R
2s, HOND-A-31, 27, B_bent, L
2s, HOND-A-31, 27, B_bent, R
2s, SOMS-A-31, 25, 5, L
2s, SOMS-A-31, 25, 5, R
2s, PO-3231, 2, B, L
2s, PO-3231, 2, B, R
2s, PO-1927, 2, B, L
2s, PO-1927, 2, B, R
2s, PO-4232, 2, B, L
2s, PO-4232, 2, B, R
2s, GEHANDICAPT-A-113, 4, 1, L
2s, GEHANDICAPT-A-113, 4, 1, R
2s, PO-2649, 2, B, L
2s, PO-2649, 2, B, R
2s, DONUT, 44, Baby_C, L
2s, DONUT, 44, Baby_C, R
2s, RUIT-A, 4, 1, L
2s, RUIT-A, 4, 1, R
2s, PO-990, 2, B, L
2s, PO-990, 2, B, R
2s, 10-B, 25, 5, L
2s, 10-B, 25, 5, R
2s, NIET-B-37, 2, B, L
2s, NIET-B-37, 2, B, R
2s, GEBAREN-A-94, 25, 5, L
2s, GEBAREN-A-94, 25, 5, R
2s, GEHANDICAPT-A-23, 4, 1, L
2s, GEHANDICAPT-A-23, 4, 1, R
2s, PO-4213, 2, B, L
2s, PO-4213, 2, B, R
2s, PO-1722, 2, B, L
2s, PO-1722, 2, B, R
2s, HAAS-A-3, 9, N, L
2s, HAAS-A-3, 9, N, R
2s, PO-2562, 2, B, L
2s, PO-2562, 2, B, R
2s, PO-2088, 2, B, L
2s, PO-2088, 2, B, R
2s, INTERNET-F-1, 25, 5, L
2s, INTERNET-F-1, 25, 5, R
2s, WEDDEN-8, 25, 5, L
2s, WEDDEN-8, 25, 5, R
2s, PO-4187, 2, B, R
2s, ALLES-A-31, 25, 5, L
2s, ALLES-A-31, 25, 5, R
2s, PO-1733, 2, B, L
2s, PO-1733, 2, B, R
2s, VERTALEN-B, 2, B, L
2s, VERTALEN-B, 2, B, R
2s, UITWISSELEN-A-12, 42, Beak, L
2s, UITWISSELEN-A-12, 42, Beak, R
2s, BIJZONDER-5, 18, T, L
2s, BIJZONDER-5, 18, T, R
2s, VERSCHILLENDE-A-48, 25, 5, L
2s, VERSCHILLENDE-A-48, 25, 5, R
2s, HOE-C-14, 2, B, L
2s, HOE-C-14, 2, B, R
2s, KLEIN-VERTICAAL-C, 2, B, L
2s, KLEIN-VERTICAAL-C, 2, B, R
2s, PO-2809, 2, B, L
2s, PO-2809, 2, B, R
2s, PO-329, 2, B, L
2s, PO-329, 2, B, R
2s, GEBOUW-C-21, 2, B, L
2s, GEBOUW-C-21, 2, B, R
2s, PO-420, 2, B, L
2s, PO-420, 2, B, R
2s, BRUG-B-2, 2, B, L
2s, BRUG-B-2, 2, B, R
2s, SAMEN-A-49, 3, C, L
2s, SAMEN-A-49, 3, C, R
2s, PO-127, 2, B, L
2s, PO-127, 2, B, R
2s, PO-390, 2, B, L
2s, PO-390, 2, B, R
2s, VRIEND-A-23, 2, B, L
2s, VRIEND-A-23, 2, B, R
2s, VAARDIG-2, 2, B, L
2s, VAARDIG-2, 2, B, R
2s, GEHANDICAPT-A-96, 4, 1, L
2s, GEHANDICAPT-A-96, 4, 1, R
2s, PO-3253, 2, B, L
2s, PO-3253, 2, B, R
2s, PO-3529, 2, B, L
2s, PO-3529, 2, B, R
2s, ONTWIKKELEN-A, 4, 1, L
2s, ONTWIKKELEN-A, 4, 1, R
2s, BOT-54, 3, C, L
2s, BOT-54, 3, C, R
2s, LOPEN-C-33, 37, C_spread, L
2s, LOPEN-C-33, 37, C_spread, R
2s, ONTMOETEN-A-3, 4, 1, L
2s, ONTMOETEN-A-3, 4, 1, R
2s, GEBOUW-C-38, 2, B, L
2s, GEBOUW-C-38, 2, B, R
2s, RUSTIG-10, 25, 5, L
2s, RUSTIG-10, 25, 5, R
2s, VERSCHIL-A-32, 4, 1, L
2s, VERSCHIL-A-32, 4, 1, R
2s, PO-3791, 2, B, L
2s, PO-3791, 2, B, R
2s, INTERNET-A-21, 43, 5m, L
2s, INTERNET-A-21, 43, 5m, R
2s, LAKEN-2, 18, T, L
2s, LAKEN-2, 18, T, R
2s, TYPEN-4, 25, 5, L
2s, TYPEN-4, 25, 5, R
2s, DOEN-A-102, 26, Beak_open, L
2s, DOEN-A-102, 26, Beak_open, R
2s, PO-210, 2, B, L
2s, PO-210, 2, B, R
2s, PO-867, 2, B, L
2s, PO-867, 2, B, R
2s, EEKHOORN, 41, V_curved, L
2s, EEKHOORN, 41, V_curved, R
2s, PO-3901, 2, B, L
2s, PO-3901, 2, B, R
2s, VERHAAL-17, 4, 1, L
2s, VERHAAL-17, 4, 1, R
2s, BETER-68, 18, T, L
2s, BETER-68, 18, T, R
2s, BODYWASH, 25, 5, L
2s, BODYWASH, 25, 5, R
2s, GEHANDICAPT-A-85, 4, 1, L
2s, GEHANDICAPT-A-85, 4, 1, R
2s, PO-558, 2, B, L
2s, PO-558, 2, B, R
2s, LESGEVEN-10, 42, Beak, L
2s, LESGEVEN-10, 42, Beak, R
2s, GOOGLE-A-7, 14, O, L
2s, GOOGLE-A-7, 14, O, R
2s, AL-94, 2, B, L
2s, AL-94, 2, B, R
2s, GEBAREN-A-126, 25, 5, L
2s, GEBAREN-A-126, 25, 5, R
2s, TOSTI-1, 17, S, L
2s, TOSTI-1, 17, S, R
2s, VERSPREIDEN-B-7, 17, S, L
2s, VERSPREIDEN-B-7, 17, S, R
2s, COMBINATIE-2, 37, C_spread, L
2s, COMBINATIE-2, 37, C_spread, R
2s, VOGEL-A-93, 2, B, L
2s, VOGEL-A-93, 2, B, R
2s, AMSTERDAM-68, 4, 1, L
2s, AMSTERDAM-68, 4, 1, R
2s, HAND-UP-1, 2, B, L
2s, HAND-UP-1, 2, B, R
2s, EMAIL-E-16, 24, Baby_O, L
2s, EMAIL-E-16, 24, Baby_O, R
2s, PO-2364, 2, B, L
2s, PO-2364, 2, B, R
2s, GEBAREN-A-658, 25, 5, L
2s, GEBAREN-A-658, 25, 5, R
2s, ONTWIKKELEN-A-23, 4, 1, L
2s, ONTWIKKELEN-A-23, 4, 1, R
2s, OPEN-A-13, 2, B, L
2s, OPEN-A-13, 2, B, R
2s, SAMEN-A-102, 3, C, L
2s, SAMEN-A-102, 3, C, R
2s, REGEN-B-12, 4, 1, L
2s, REGEN-B-12, 4, 1, R
2s, GEBAREN-A-530, 25, 5, L
2s, GEBAREN-A-530, 25, 5, R
2s, PO-4196, 2, B, L
2s, PO-4196, 2, B, R
2s, LOPEN-D-51, 2, B, L
2s, LOPEN-D-51, 2, B, R
2s, EMAIL-B-5, 14, O, L
2s, EMAIL-B-5, 14, O, R
2s, PO-1224, 2, B, L
2s, PO-1224, 2, B, R
2s, GEHANDICAPT-A-35, 4, 1, L
2s, GEHANDICAPT-A-35, 4, 1, R
2s, ENZOVOORTS-B-20, 25, 5, L
2s, ENZOVOORTS-B-20, 25, 5, R
2s, PO-2737, 2, B, L
2s, PO-2737, 2, B, R
2s, VRIJ-C-2, 2, B, R
2s, PO-3539, 2, B, L
2s, PO-3539, 2, B, R
2s, AUTO-1, 17, S, L
2s, AUTO-1, 17, S, R
2s, HAASTIG-A-2, 1, A, L
2s, HAASTIG-A-2, 1, A, R
2s, PISTACHENOOT, 36, Money, L
2s, PISTACHENOOT, 36, Money, R
2s, PASSIEF-4, 25, 5, L
2s, PASSIEF-4, 25, 5, R
2s, BESLUITEN-A-35, 17, S, L
2s, BESLUITEN-A-35, 17, S, R
2s, PO-3799, 2, B, L
2s, PO-3799, 2, B, R
2s, HOND-A-43, 27, B_bent, L
2s, HOND-A-43, 27, B_bent, R
2s, PO-3452, 2, B, L
2s, PO-3452, 2, B, R
2s, VERSPREIDEN-B-14, 17, S, L
2s, VERSPREIDEN-B-14, 17, S, R
2s, DOOS-A-12, 2, B, L
2s, DOOS-A-12, 2, B, R
2s, GEBAREN-A-715, 25, 5, L
2s, GEBAREN-A-715, 25, 5, R
2s, ENE-KANT-ANDERE-KANT-B-3, 4, 1, L
2s, ENE-KANT-ANDERE-KANT-B-3, 4, 1, R
2s, PO-3834, 2, B, L
2s, PO-3834, 2, B, R
2s, SCHOMMELEN-14, 17, S, L
2s, SCHOMMELEN-14, 17, S, R
2s, EMAIL-E-30, 24, Baby_O, L
2s, EMAIL-E-30, 24, Baby_O, R
2s, PO-218, 2, B, L
2s, PO-218, 2, B, R
2s, COMMUNICEREN-50, 3, C, L
2s, COMMUNICEREN-50, 3, C, R
2s, COMMUNICEREN-17, 3, C, L
2s, COMMUNICEREN-17, 3, C, R
2s, ROLSTOEL-C-2, 44, Baby_C, L
2s, ROLSTOEL-C-2, 44, Baby_C, R
2s, GROEP-A-136, 3, C, L
2s, GROEP-A-136, 3, C, R
2s, PO-727, 2, B, L
2s, PO-727, 2, B, R
2s, UITDAGEN-B-1, 17, S, L
2s, UITDAGEN-B-1, 17, S, R
2s, GEBAREN-A-184, 25, 5, L
2s, GEBAREN-A-184, 25, 5, R
2s, PO-827, 2, B, L
2s, PO-827, 2, B, R
2s, ENE-KANT-ANDERE-KANT-B-2, 4, 1, L
2s, ENE-KANT-ANDERE-KANT-B-2, 4, 1, R
2s, ONDERHOUDEN-B, 36, Money, L
2s, ONDERHOUDEN-B, 36, Money, R
2s, PO-2678, 2, B, L
2s, PO-2678, 2, B, R
2s, VARIATIE-7, 4, 1, L
2s, VARIATIE-7, 4, 1, R
2s, GEBAREN-A-817, 25, 5, L
2s, GEBAREN-A-817, 25, 5, R
2s, PO-2450, 2, B, L
2s, PO-2450, 2, B, R
2s, VERHUIZEN-A-1, 17, S, L
2s, VERHUIZEN-A-1, 17, S, R
2s, PO-2902, 2, B, L
2s, PO-2902, 2, B, R
2s, PO-4225, 2, B, L
2s, PO-4225, 2, B, R
2s, OVERLEGGEN-C-1, 26, Beak_open, L
2s, OVERLEGGEN-C-1, 26, Beak_open, R
2s, PO-3803, 2, B, L
2s, PO-3803, 2, B, R
2s, PO-471, 2, B, L
2s, PO-471, 2, B, R
2s, EMAIL-B-1, 14, O, L
2s, EMAIL-B-1, 14, O, R
2s, PO-3358, 2, B, L
2s, PO-3358, 2, B, R
2s, PO-1117, 2, B, L
2s, PO-1117, 2, B, R
2s, PO-3315, 2, B, L
2s, PO-3315, 2, B, R
2s, PO-2358, 2, B, L
2s, PO-2358, 2, B, R
2s, OMGAAN-A-14, 4, 1, L
2s, OMGAAN-A-14, 4, 1, R
2s, HOE-B-30, 26, Beak_open, L
2s, HOE-B-30, 26, Beak_open, R
2s, BRIL-B-1, 44, Baby_C, L
2s, BRIL-B-1, 44, Baby_C, R
2s, HOEK-B-1, 2, B, L
2s, HOEK-B-1, 2, B, R
2s, VERZAMELEN-B-4, 37, C_spread, L
2s, VERZAMELEN-B-4, 37, C_spread, R
2s, PO-3542, 2, B, L
2s, PO-3542, 2, B, R
2s, COMBINATIE-5, 37, C_spread, L
2s, COMBINATIE-5, 37, C_spread, R
2s, DANSEN-B-18, 17, S, L
2s, DANSEN-B-18, 17, S, R
2s, UITREKKEN-B, 17, S, L
2s, UITREKKEN-B, 17, S, R
2s, VLEES-B-3, 45, Baby_beak, L
2s, VLEES-B-3, 45, Baby_beak, R
2s, PV-96, 25, 5, L
2s, PV-96, 25, 5, R
2s, GEBAREN-A-58, 25, 5, L
2s, GEBAREN-A-58, 25, 5, R
2s, LOPEN-H-9, 38, B_curved, L
2s, LOPEN-H-9, 38, B_curved, R
2s, VRIEND-A-67, 2, B, L
2s, VRIEND-A-67, 2, B, R
2s, ONTWIKKELEN-A-75, 4, 1, L
2s, ONTWIKKELEN-A-75, 4, 1, R
2s, LANG-B-2, 2, B, L
2s, LANG-B-2, 2, B, R
2s, HUIS-B-3, 2, B, L
2s, HUIS-B-3, 2, B, R
2s, PO-4108, 2, B, L
2s, PO-4108, 2, B, R
2s, PO-763, 2, B, L
2s, PO-763, 2, B, R
2s, VERSCHILLENDE-B-5, 25, 5, L
2s, VERSCHILLENDE-B-5, 25, 5, R
2s, DAK-7, 2, B, L
2s, DAK-7, 2, B, R
2s, PO-3474, 2, B, L
2s, PO-3474, 2, B, R
2s, PO-2143, 2, B, L
2s, PO-2143, 2, B, R
2s, PO-525, 2, B, L
2s, PO-525, 2, B, R
2s, PO-3663, 2, B, L
2s, PO-3663, 2, B, R
2s, HAAS-A-21, 9, N, L
2s, HAAS-A-21, 9, N, R
2s, ONDERWERP-C-4, 41, V_curved, L
2s, ONDERWERP-C-4, 41, V_curved, R
2s, REGELEN-5, 25, 5, L
2s, REGELEN-5, 25, 5, R
2s, AL-91, 2, B, L
2s, AL-91, 2, B, R
2s, RENNEN-A-27, 17, S, L
2s, RENNEN-A-27, 17, S, R
2s, PO-1227, 2, B, L
2s, PO-1227, 2, B, R
2s, PO-2995, 2, B, L
2s, PO-2995, 2, B, R
2s, PO-3964, 2, B, L
2s, PO-3964, 2, B, R
2s, VOGEL-A-43, 2, B, L
2s, VOGEL-A-43, 2, B, R
2s, LUIER-A-1, 44, Baby_C, L
2s, LUIER-A-1, 44, Baby_C, R
2s, AL-47, 2, B, L
2s, AL-47, 2, B, R
2s, AMSTERDAM-26, 4, 1, L
2s, AMSTERDAM-26, 4, 1, R
2s, PO-3699, 2, B, L
2s, PO-3699, 2, B, R
2s, PV-23, 25, 5, L
2s, PV-23, 25, 5, R
2s, ALLES-A-5, 25, 5, L
2s, ALLES-A-5, 25, 5, R
2s, GEBAREN-A-435, 25, 5, L
2s, GEBAREN-A-435, 25, 5, R
2s, PO-526, 2, B, L
2s, PO-526, 2, B, R
2s, APART-A-7, 2, B, L
2s, APART-A-7, 2, B, R
2s, PO-676, 2, B, L
2s, PO-676, 2, B, R
2s, REPAREREN, 19, V, L
2s, REPAREREN, 19, V, R
2s, PO-363, 2, B, L
2s, PO-363, 2, B, R
2s, AUTO-39, 17, S, L
2s, AUTO-39, 17, S, R
2s, AL-23, 2, B, L
2s, AL-23, 2, B, R
2s, ONTWIKKELEN-A-11, 4, 1, L
2s, ONTWIKKELEN-A-11, 4, 1, R
2s, UITDAGEN-B-4, 17, S, L
2s, UITDAGEN-B-4, 17, S, R
2s, PO-1579, 2, B, L
2s, PO-1579, 2, B, R
2s, PO-1912, 2, B, L
2s, PO-1912, 2, B, R
2s, PV-50, 25, 5, L
2s, PV-50, 25, 5, R
2s, GEBAREN-A-261, 25, 5, L
2s, GEBAREN-A-261, 25, 5, R
2s, PO-964, 2, B, L
2s, PO-964, 2, B, R
2s, PO-2534, 2, B, L
2s, PO-2534, 2, B, R
2s, ONTWIKKELEN-A-59, 4, 1, L
2s, ONTWIKKELEN-A-59, 4, 1, R
2s, PO-49, 2, B, L
2s, PO-49, 2, B, R
2s, PO-3831, 2, B, L
2s, PO-3831, 2, B, R
2s, STAAN-B-2, 17, S, L
2s, STAAN-B-2, 17, S, R
2s, GEHANDICAPT-A-153, 4, 1, L
2s, GEHANDICAPT-A-153, 4, 1, R
2s, FEEST-D, 27, B_bent, L
2s, FEEST-D, 27, B_bent, R
2s, PO-1706, 2, B, L
2s, PO-1706, 2, B, R
2s, VERSCHILLENDE-B-12, 25, 5, L
2s, VERSCHILLENDE-B-12, 25, 5, R
2s, PO-2805, 2, B, L
2s, PO-2805, 2, B, R
2s, BAL-A, 37, C_spread, L
2s, BAL-A, 37, C_spread, R
2s, PO-2227, 2, B, L
2s, PO-2227, 2, B, R
2s, KLIMMEN-C-13, 3, C, L
2s, KLIMMEN-C-13, 3, C, R
2s, HOE-B-89, 26, Beak_open, L
2s, HOE-B-89, 26, Beak_open, R
2s, GROEP-A-110, 3, C, L
2s, GROEP-A-110, 3, C, R
2s, PO-2529, 2, B, L
2s, PO-2529, 2, B, R
2s, AL-80, 2, B, L
2s, AL-80, 2, B, R
2s, GROEP-A-118, 3, C, L
2s, GROEP-A-118, 3, C, R
2s, PO-1287, 2, B, L
2s, PO-1287, 2, B, R
2s, FRIKANDEL-A, 18, T, L
2s, FRIKANDEL-A, 18, T, R
2s, PO-3355, 2, B, L
2s, PO-3355, 2, B, R
2s, ACCEPTEREN-A-27, 26, Beak_open, L
2s, ACCEPTEREN-A-27, 26, Beak_open, R
2s, PO-3584, 2, B, L
2s, PO-3584, 2, B, R
2s, PO-3368, 2, B, L
2s, PO-3368, 2, B, R
2s, PRATEN-B-62, 26, Beak_open, L
2s, PRATEN-B-62, 26, Beak_open, R
2s, APART-C-4, 3, C, L
2s, APART-C-4, 3, C, R
2s, BALIE-B-1, 3, C, L
2s, BALIE-B-1, 3, C, R
2s, BAL-B-6, 38, B_curved, L
2s, BAL-B-6, 38, B_curved, R
2s, GEBAREN-A-265, 25, 5, L
2s, GEBAREN-A-265, 25, 5, R
2s, PO-3694, 2, B, L
2s, PO-3694, 2, B, R
2s, GROEP-C-14, 3, C, L
2s, GROEP-C-14, 3, C, R
2s, GEBOREN-A-25, 2, B, L
2s, GEBOREN-A-25, 2, B, R
2s, PLAGEN-E-1, 14, O, L
2s, PLAGEN-E-1, 14, O, R
2s, AUTO-43, 17, S, L
2s, AUTO-43, 17, S, R
2s, GEBOUW-C-5, 2, B, L
2s, GEBOUW-C-5, 2, B, R
2s, GEBAREN-A-785, 25, 5, L
2s, GEBAREN-A-785, 25, 5, R
2s, GEBAREN-A-813, 25, 5, L
2s, GEBAREN-A-813, 25, 5, R
2s, HUIS-A-9, 2, B, L
2s, HUIS-A-9, 2, B, R
2s, KUNNEN-B-5, 2, B, L
2s, KUNNEN-B-5, 2, B, R
2s, AMSTERDAM-69, 4, 1, L
2s, AMSTERDAM-69, 4, 1, R
2s, PO-1666, 2, B, L
2s, PO-1666, 2, B, R
2s, BETER-21, 18, T, L
2s, BETER-21, 18, T, R
2s, WEG-A-7, 2, B, L
2s, WEG-A-7, 2, B, R
2s, AANDACHT-A-16, 2, B, L
2s, AANDACHT-A-16, 2, B, R
2s, LOPEN-D-30, 2, B, L
2s, LOPEN-D-30, 2, B, R
2s, GEBAREN-A-301, 25, 5, L
2s, GEBAREN-A-301, 25, 5, R
2s, PO-4203, 2, B, L
2s, PV-25, 25, 5, L
2s, PV-25, 25, 5, R
2s, PO-3612, 2, B, L
2s, PO-3612, 2, B, R
2s, AL-48, 2, B, L
2s, AL-48, 2, B, R
2s, SAMEN-A-2, 3, C, L
2s, SAMEN-A-2, 3, C, R
2s, VOOR-C-21, 27, B_bent, L
2s, VOOR-C-21, 27, B_bent, R
2s, UITWISSELEN-C-5, 2, B, L
2s, UITWISSELEN-C-5, 2, B, R
2s, ALLEMAAL-A-11, 25, 5, L
2s, ALLEMAAL-A-11, 25, 5, R
2s, OVERLEGGEN-C-3, 26, Beak_open, L
2s, OVERLEGGEN-C-3, 26, Beak_open, R
2s, VOGEL-A-36, 2, B, L
2s, VOGEL-A-36, 2, B, R
2s, EMAIL-E-18, 24, Baby_O, L
2s, EMAIL-E-18, 24, Baby_O, R
2s, GEBAREN-A-794, 25, 5, L
2s, GEBAREN-A-794, 25, 5, R
2s, FEEST-C-3, 12, L, L
2s, FEEST-C-3, 12, L, R
2s, AL-171, 2, B, L
2s, AL-171, 2, B, R
2s, BETER-3, 18, T, L
2s, BETER-3, 18, T, R
2s, GYMNASTIEK-A, 17, S, L
2s, GYMNASTIEK-A, 17, S, R
2s, PO-3780, 2, B, L
2s, PO-3780, 2, B, R
2s, RAAM-A-4, 4, 1, L
2s, RAAM-A-4, 4, 1, R
2s, GROEP-A-59, 3, C, L
2s, GROEP-A-59, 3, C, R
2s, PO-2052, 2, B, L
2s, PO-2052, 2, B, R
2s, LOPEN-C-29, 37, C_spread, L
2s, LOPEN-C-29, 37, C_spread, R
2s, AL-11, 2, B, L
2s, AL-11, 2, B, R
2s, GEBAREN-A-607, 25, 5, L
2s, GEBAREN-A-607, 25, 5, R
2s, WEBCAM-1, 3, C, L
2s, WEBCAM-1, 3, C, R
2s, RUSTIG-14, 25, 5, L
2s, RUSTIG-14, 25, 5, R
2s, PO-411, 2, B, L
2s, PO-411, 2, B, R
2s, HAAS-B-4, 2, B, L
2s, HAAS-B-4, 2, B, R
2s, AUTO-23, 17, S, L
2s, AUTO-23, 17, S, R
2s, PO-1934, 2, B, L
2s, PO-4235, 2, B, L
2s, PO-4235, 2, B, R
2s, ENZOVOORTS-B-14, 25, 5, L
2s, ENZOVOORTS-B-14, 25, 5, R
2s, HONGER-B-8, 1, A, L
2s, HONGER-B-8, 1, A, R
2s, NAAIEN-B-1, 2, B, L
2s, NAAIEN-B-1, 2, B, R
2s, INTERNET-A-38, 43, 5m, L
2s, INTERNET-A-38, 43, 5m, R
2s, HOED-A, 42, Beak, L
2s, HOED-A, 42, Beak, R
2s, PRIMA-16, 1, A, L
2s, PRIMA-16, 1, A, R
2s, PO-2116, 2, B, L
2s, PO-2116, 2, B, R
2s, SOMS-A-26, 25, 5, L
2s, SOMS-A-26, 25, 5, R
2s, ALLES-B-5, 25, 5, L
2s, ALLES-B-5, 25, 5, R
2s, FOCUS-B-1, 2, B, L
2s, FOCUS-B-1, 2, B, R
2s, PO-1914, 2, B, L
2s, PO-1914, 2, B, R
2s, HOE-B-111, 26, Beak_open, L
2s, HOE-B-111, 26, Beak_open, R
2s, PO-2105, 2, B, L
2s, PO-2105, 2, B, R
2s, PO-1296, 2, B, R
2s, PO-4304, 2, B, L
2s, PO-4304, 2, B, R
2s, VALLEN-A-1, 25, 5, L
2s, VALLEN-A-1, 25, 5, R
2s, PO-1922, 2, B, L
2s, PO-1922, 2, B, R
2s, PRATEN-B-50, 26, Beak_open, L
2s, PRATEN-B-50, 26, Beak_open, R
2s, OPSCHIETEN-A, 25, 5, L
2s, OPSCHIETEN-A, 25, 5, R
2s, PO-3581, 2, B, L
2s, PO-3581, 2, B, R
2s, VERSCHILLENDE-A-46, 25, 5, L
2s, VERSCHILLENDE-A-46, 25, 5, R
2s, ONTMOETEN-A-6, 4, 1, L
2s, ONTMOETEN-A-6, 4, 1, R
2s, LOPEN-H-19, 38, B_curved, L
2s, LOPEN-H-19, 38, B_curved, R
2s, BEZOEK-A-5, 2, B, L
2s, BEZOEK-A-5, 2, B, R
2s, GROEP-A-69, 3, C, L
2s, GROEP-A-69, 3, C, R
2s, POES-B-15, 18, T, L
2s, POES-B-15, 18, T, R
2s, PO-4267, 2, B, L
2s, PO-4267, 2, B, R
2s, NIET-B-8, 2, B, L
2s, NIET-B-8, 2, B, R
2s, PO-3969, 2, B, L
2s, PO-3969, 2, B, R
2s, AL-112, 2, B, L
2s, AL-112, 2, B, R
2s, PO-2684, 2, B, L
2s, PO-2684, 2, B, R
2s, AANKLEDEN-B-1, 25, 5, L
2s, AANKLEDEN-B-1, 25, 5, R
2s, PO-3778, 2, B, L
2s, PO-3778, 2, B, R
2s, PO-3548, 2, B, L
2s, PO-3548, 2, B, R
2s, GEHANDICAPT-C, 59, 5r, L
2s, GEHANDICAPT-C, 59, 5r, R
2s, PO-1931, 2, B, L
2s, PO-1931, 2, B, R
2s, HELPEN-A-27, 25, 5, L
2s, HELPEN-A-27, 25, 5, R
2s, KLIMMEN-A-27, 37, C_spread, L
2s, KLIMMEN-A-27, 37, C_spread, R
2s, PO-3785, 2, B, L
2s, PO-3785, 2, B, R
2s, BEGINNEN-D, 1, A, L
2s, BEGINNEN-D, 1, A, R
2s, ALLES-A-19, 25, 5, L
2s, ALLES-A-19, 25, 5, R
2s, LOPEN-D-31, 2, B, L
2s, LOPEN-D-31, 2, B, R
2s, PO-914, 2, B, L
2s, PO-914, 2, B, R
2s, PO-4116, 2, B, L
2s, PO-4116, 2, B, R
2s, VAAK-15, 25, 5, L
2s, VAAK-15, 25, 5, R
2s, GEHANDICAPT-A-27, 4, 1, L
2s, GEHANDICAPT-A-27, 4, 1, R
2s, PO-3133, 2, B, L
2s, PO-3133, 2, B, R
2s, AMSTERDAM-18, 4, 1, L
2s, AMSTERDAM-18, 4, 1, R
2s, PO-1688, 2, B, L
2s, PO-1688, 2, B, R
2s, COMBINATIE-12, 37, C_spread, L
2s, COMBINATIE-12, 37, C_spread, R
2s, NAAIEN-B-3, 2, B, L
2s, NAAIEN-B-3, 2, B, R
2s, HAAS-B-17, 2, B, L
2s, HAAS-B-17, 2, B, R
2s, PO-4220, 2, B, L
2s, PO-4220, 2, B, R
2s, MISHANDELEN-1, 2, B, L
2s, MISHANDELEN-1, 2, B, R
2s, PO-839, 2, B, L
2s, PO-839, 2, B, R
2s, 44-B, 30, 4, L
2s, 44-B, 30, 4, R
2s, PO-1337, 2, B, L
2s, PO-1337, 2, B, R
2s, PO-3360, 2, B, L
2s, PO-3360, 2, B, R
2s, PO-4346, 2, B, L
2s, PO-4346, 2, B, R
2s, ENZOVOORTS-D-10, 25, 5, L
2s, ENZOVOORTS-D-10, 25, 5, R
2s, RENNEN-A-18, 17, S, L
2s, RENNEN-A-18, 17, S, R
2s, PO-2137, 2, B, L
2s, PO-2137, 2, B, R
2s, LOPEN-D-20, 2, B, L
2s, LOPEN-D-20, 2, B, R
